Charlottesville.City 	45084	13.1	37.3	20.1	15.8	13.6
Chesapeake.City 	230601	20.2	20.8	20.1	22.2	16.9
Colonial_Heights.City 	17515	18.8	18.4	17.5	19.4	25.9
Covington.City 	5736	17.4	18.7	17.2	20.9	25.9
Danville.City 	42450	18.3	19.1	15.9	20.3	26.4
Emporia.City 	5672	19.1	17.9	16	21.3	25.7
Fairfax.City 	23402	17.3	20.3	20.2	21.4	20.7
Falls_Church.City 	13308	20.7	17	22.1	22	18.3
Franklin.City 	8457	21	17.5	17.6	17.1	26.8
Fredericksburg.City 	27395	17.9	33.2	18.2	16.5	14.2
Galax.City 	6876	17.2	15.4	16.5	22	28.9
Hampton.City 	137081	18.3	24.2	17.9	20.6	19
Harrisonburg.City 	51388	13.7	47.1	16	12.3	10.9
Hopewell.City 	22279	21.4	18.8	18.5	20.5	20.8
Lexington.City 	7071	7.8	62.5	7	6.9	15.7
Lynchburg.City 	78158	16.4	35.2	14.2	15.7	18.4
Manassas.City 	40743	23	21.9	22.8	20.3	12.1
Manassas_Park.City 	15625	23.1	21.1	25.3	20.3	10
Martinsville.City 	13624	18.8	17	16.9	20.2	27.1
Newport_News.City 	181323	20	25.7	19.3	18.6	16.5
Norfolk.City 	245452	17.6	32.4	19	16.8	14.1
Norton.City 	4007	16.1	21.1	19.9	19.4	23.5
Petersburg.City 	32123	17.5	22.3	16.2	21.6	22.5
Poquoson.City 	12077	18	17.4	16.3	24.8	23.5
Portsmouth.City 	96135	20.1	22.3	19	18.8	19.6
Radford.City 	17057	10.6	54.4	12.3	11.1	11.5
Richmond.City 	213735	15.9	28.8	20	18.3	17.2
Roanoke.City 	98736	18.8	19.8	20.1	19.9	21.5
Salem.City 	25165	15.7	22.9	17.3	20.3	23.8
Staunton.City 	24193	15.5	20.2	18.3	19.9	26.1
Suffolk.City 	86184	21.1	18.7	20.1	21.7	18.4
Virginia_Beach.City 	448290	19.2	23.1	20.7	20.3	16.8
Waynesboro.City 	21150	20.1	17.6	19.5	20.1	22.7
Williamsburg.City 	14754	9	48.5	11.9	11.7	19
Winchester.City 	27168	18.6	23.2	17.9	20	20.2
